node_id,node_name,mesh_ui,node_type
N626,adenosine diphosphate,D000244,Chemical
N627,basophils,D001491,Anatomy
N628,leukocyte count,D007958,Technique
N629,glomerulonephritis,D005921,Disease
N630,nephrosclerosis,D009400,Disease
N631,saralasin,D012504,Chemical
N632,teprotide,D013722,Chemical
N633,adrenal gland neoplasms,D000310,Disease
N634,antithrombin iii deficiency,D020152,Disease
N635,carcinoma,D002277,Disease
N636,"carcinoma, hepatocellular",D006528,Disease
N637,liver neoplasms,D008113,Disease
N638,neoplasm invasiveness,D009361,Disease
N639,neoplasms,D009369,Disease
N640,renal veins,D012082,Anatomy
N641,"vena cava, inferior",D014682,Anatomy
N642,blood urea nitrogen,D001806,Technique
N643,diastole,D003971,Biological_Process
N644,hormones,D006728,Chemical
N645,systole,D013599,Biological_Process
N646,"adaptation, psychological",D000223,Other
N647,aftercare,D000359,Technique
N648,community health services,D003153,Other
N649,family,D005190,Other
N650,professional-family relations,D011368,Other
N651,sex education,D012736,Other
N652,social adjustment,D012917,Other
N653,computers,D003201,Other
N654,tomography,D014054,Technique
N655,renal artery,D012077,Anatomy
N656,renal artery obstruction,D012078,Disease
N657,kallikreins,D007610,Chemical
N658,kininogens,D007704,Chemical
N659,kinins,D007705,Chemical
N660,lysine carboxypeptidase,D001121,Chemical
N661,sympathetic nervous system,D013564,Anatomy
N662,"abdomen, acute",D000006,Disease
N663,adenoma,D000236,Disease
N664,hemoperitoneum,D006465,Disease
N665,hepatectomy,D006498,Technique
N666,"rupture, spontaneous",D012422,Disease
N667,hydrocephalus,D006849,Disease
N668,chlorthalidone,D002752,Chemical
N669,brain stem,D001933,Anatomy
N670,cats,D002415,Other
N671,digitalis glycosides,D004071,Chemical
N672,vagus nerve,D014630,Anatomy
N673,abdomen,D000005,Anatomy
N674,"anemia, hemolytic, autoimmune",D000744,Disease
N675,heavy chain disease,D006362,Disease
N676,immunoglobulin alpha-chains,D007137,Chemical
N677,"leukemia, lymphoid",D007945,Disease
N678,"lymphoma, non-hodgkin",D008228,Disease
N679,lymphoproliferative disorders,D008232,Disease
N680,spleen,D013154,Anatomy
N681,splenectomy,D013156,Technique
N682,splenic neoplasms,D013160,Disease
N683,waldenstrom macroglobulinemia,D008258,Disease
N684,anemia,D000740,Disease
N685,cote d'ivoire,D007560,Other
N686,"hypertension, pulmonary",D006976,Disease
N687,schistosoma haematobium,D012548,Other
N688,schistosoma mansoni,D012550,Other
N689,schistosomiasis,D012552,Disease
N690,amiloride,D000584,Chemical
N691,france,D005602,Other
N692,hydrochlorothiazide,D006852,Chemical
N693,methyldopa,D008750,Chemical
N694,"physicians, family",D010821,Other
N695,pyrazines,D011719,Chemical
N696,hyperglycemia,D006943,Disease
N697,metabolic diseases,D008659,Disease
N698,sports,D013177,Other
N699,uric acid,D014527,Chemical
N700,breast,D001940,Anatomy
N701,breast neoplasms,D001943,Disease
N702,estrogens,D004967,Chemical
N703,intellectual disability,D008607,Disease
N704,pulmonary artery,D011651,Anatomy
N705,bundle of his,D002036,Anatomy
N706,esophageal neoplasms,D004938,Disease
N707,heart septum,D006346,Anatomy
N708,action potentials,D000200,Biological_Process
N709,graves disease,D006111,Disease
N710,hyperthyroidism,D006980,Disease
N711,nephrectomy,D009392,Technique
N712,radioisotope renography,D011866,Technique
